16 1 1 2 2 3 3 1 1524    0 
16 1 0 0 2 1 1 1  492    0 
16 1 1 3 3 4 4 1  663    0 
16 1 0 3 1 4 4 1  484    0 
16 1 1 1 1 2 2 1  679    0 
16 1 1 3 3 4 4 1  603    0 
16 1 0 1 3 2 2 1  578    0 
16 1 0 0 2 1 1 1  706    0 
16 1 0 1 3 2 2 1  620    0 
16 1 0 2 0 3 3 1  938    0 
16 1 1 3 3 4 4 1  572    0 
16 1 1 0 0 1 1 1  484    0 
16 1 1 1 1 2 2 1  687    0 
16 1 0 1 3 2 2 1  570    0 
16 1 0 1 3 2 2 1  482    0 
16 1 1 1 1 2 2 1  462    0 
16 1 0 0 2 1 1 1  619    0 
16 1 0 2 0 3 3 1  561    0 
16 1 1 3 3 4 4 1  610    0 
16 1 1 3 3 4 4 1  456    0 
16 1 1 0 0 1 1 1  517    0 
16 1 0 1 3 2 4 0  567    0 
16 1 0 3 1 4 3 0  605    0 
16 1 0 2 0 3 3 1  690    0 
16 1 0 2 0 3 3 1  477    0 
16 1 1 2 2 3 3 1  537    0 
16 1 1 0 0 1 1 1  474    0 
16 1 0 1 3 2 2 1  654   18 
16 1 1 3 3 4 4 1  563    0 
16 1 0 3 1 4 2 0  427    0 
16 1 0 1 3 2 2 1  535    0 
16 1 0 0 2 1 1 1  649    0 
16 1 0 0 2 1 1 1  518    0 
16 1 0 3 1 4 4 1  608    0 
16 1 0 1 3 2 2 1  567    0 
16 1 0 2 0 3 3 1  751    0 
16 1 0 3 1 4 4 1  615    0 
16 1 0 0 2 1 1 1  550    0 
16 1 0 2 0 3 4 0  583    0 
16 1 1 3 3 4 4 1  660    0 
16 1 0 3 1 4 4 1  745    0 
16 1 1 0 0 1 1 1  562    0 
16 1 1 0 0 1 1 1  467    0 
16 1 1 3 3 4 4 1  591    0 
